name,n,s,r,bsize,mean,std_dev
example1_double_acc_col_neumaier_cpu,17,128,1024.0,0.0,0.00164696,0.0014322535683605
example1_double_acc_col_neumaier_cpu,18,2048,128.0,0.0,0.00123988,0.0039480842351909
example1_double_acc_col_neumaier_cpu,19,1024,512.0,0.0,0.0013584399999999,0.0004867883989025
example1_double_acc_col_neumaier_cpu,20,2048,512.0,0.0,0.00148868,0.000400660905026
example1_double_acc_col_neumaier_cpu,21,4096,512.0,0.0,0.00249886,0.0033144432968079
example1_double_acc_col_neumaier_cpu,22,8192,512.0,0.0,0.00326086,0.0009477347215592
example1_double_acc_col_neumaier_cpu,23,8192,1024.0,0.0,0.00564036,0.0016738177766375
example1_double_acc_col_neumaier_cpu,24,16384,1024.0,0.0,0.00852444,0.0016765676570217
example1_double_acc_col_neumaier_cpu,25,16384,2048.0,0.0,0.0185021,0.0015508344067445
example1_double_acc_col_neumaier_cpu,26,32768,2048.0,0.0,0.0310711199999999,0.0018466778625854
example1_double_acc_col_neumaier_cpu,27,32768,4096.0,0.0,0.0616074199999999,0.0022017200890695
example1_double_acc_col_neumaier_cpu,28,65536,4096.0,0.0,0.11166248,0.0032436466706596
example1_double_acc_col_neumaier_cpu,29,65536,8192.0,0.0,0.22009984,0.0057329926592505
example1_double_acc_col_neumaier_gpu,15,32,1024.0,0.0,0.00131034,0.0033806679789771
example1_double_acc_col_neumaier_gpu,16,128,512.0,0.0,0.00078436,0.0002150314414599
example1_double_acc_col_neumaier_gpu,17,1024,128.0,0.0,0.00097002,0.0034887978953636
example1_double_acc_col_neumaier_gpu,18,2048,128.0,0.0,0.00046968,0.0001323197179376
example1_double_acc_col_neumaier_gpu,19,2048,256.0,0.0,0.00239404,0.0049177866971196
example1_double_acc_col_neumaier_gpu,20,4096,256.0,0.0,0.00162966,0.0027502195653349
example1_double_acc_col_neumaier_gpu,21,4096,512.0,0.0,0.00229644,0.0015456511891003
example1_double_acc_col_neumaier_gpu,22,8192,512.0,0.0,0.00381952,0.0043347532059777
example1_double_acc_col_neumaier_gpu,23,8192,1024.0,0.0,0.00592176,0.0032728746121626
example1_double_acc_col_neumaier_gpu,24,16384,1024.0,0.0,0.00816048,0.0007806094489799
example1_double_acc_col_neumaier_gpu,25,16384,2048.0,0.0,0.01826158,0.0037250751264304
example1_double_acc_col_neumaier_gpu,26,32768,2048.0,0.0,0.03240284,0.0022193193326802
example1_double_acc_col_neumaier_gpu,27,32768,4096.0,0.0,0.06156134,0.0016961820706323
example1_double_acc_col_neumaier_gpu,28,65536,4096.0,0.0,0.1109897,0.0033612503762494
example1_double_acc_col_neumaier_gpu,29,65536,8192.0,0.0,0.2194045399999999,0.0055018831737461
example1_double_acc_row_cpu,15,64,512.0,0.0,0.00080066,0.0009631731488646
example1_double_acc_row_cpu,16,1024,64.0,0.0,0.00133334,0.0012395867746296
example1_double_acc_row_cpu,17,256,512.0,0.0,0.00063602,0.0008241090796138
example1_double_acc_row_cpu,18,256,1024.0,0.0,0.00092558,0.0017336147335811
example1_double_acc_row_cpu,19,128,4096.0,0.0,0.0016405,0.0007133511099889
example1_double_acc_row_cpu,20,1024,1024.0,0.0,0.00291896,0.0007810621486155
example1_double_acc_row_cpu,21,512,4096.0,0.0,0.00439378,0.0015860658077553
example1_double_acc_row_cpu,22,512,8192.0,0.0,0.00590466,0.0012982519269056
example1_double_acc_row_cpu,23,2048,4096.0,0.0,0.01071282,0.0015311550220773
example1_double_acc_row_cpu,24,2048,8192.0,0.0,0.0198321799999999,0.0020940635205655
example1_double_acc_row_cpu,25,1024,32768.0,0.0,0.03902762,0.0049302158494371
example1_double_acc_row_cpu,26,2048,32768.0,0.0,0.08371952,0.011178882606787
example1_double_acc_row_cpu,27,2048,65536.0,0.0,0.15929824,0.0218610468283433
example1_double_acc_row_cpu,28,4096,65536.0,0.0,0.32690262,0.0431845380033981
example1_double_acc_row_cpu,29,4096,131072.0,0.0,0.65235462,0.0777022236261259
example1_double_acc_row_gpu,15,512,64.0,0.0,0.00084234,0.0005116653725525
example1_double_acc_row_gpu,16,1024,64.0,0.0,0.00111628,0.0009214850268419
example1_double_acc_row_gpu,17,256,512.0,0.0,0.00067482,0.000776086800584
example1_double_acc_row_gpu,18,512,512.0,0.0,0.00081378,0.0002510215284693
example1_double_acc_row_gpu,19,1024,512.0,0.0,0.00210072,0.0003249440165283
example1_double_acc_row_gpu,20,2048,512.0,0.0,0.00359152,0.000410355208997
example1_double_acc_row_gpu,21,256,8192.0,0.0,0.00385562,0.0008452869791632
example1_double_acc_row_gpu,22,1024,4096.0,0.0,0.00628858,0.0022239883743823
example1_double_acc_row_gpu,23,512,16384.0,0.0,0.01048792,0.0014449857402022
example1_double_acc_row_gpu,24,4096,4096.0,0.0,0.0201710199999999,0.0022940863237498
example1_double_acc_row_gpu,25,8192,4096.0,0.0,0.0400192,0.004900260859362
example1_double_acc_row_gpu,26,16384,4096.0,0.0,0.0818816,0.0129701780627558
example1_double_acc_row_gpu,27,2048,65536.0,0.0,0.1591651,0.0185215921211995
example1_double_acc_row_gpu,28,4096,65536.0,0.0,0.3384331,0.0440976229699747
example1_double_acc_row_gpu,29,4096,131072.0,0.0,0.62937024,0.0693561795582831
example1_double_acc_row_kahan_cpu,15,32,1024.0,0.0,0.00065288,0.0009996453583391
example1_double_acc_row_kahan_cpu,16,64,1024.0,0.0,0.00109206,0.0021657171825272
example1_double_acc_row_kahan_cpu,17,256,512.0,0.0,0.00056888,0.0004982406041179
example1_double_acc_row_kahan_cpu,18,256,1024.0,0.0,0.00053486,0.0002049235805795
example1_double_acc_row_kahan_cpu,19,1024,512.0,0.0,0.00177692,0.0003230335068233
example1_double_acc_row_kahan_cpu,20,1024,1024.0,0.0,0.00269772,0.0008131568375467
example1_double_acc_row_kahan_cpu,21,2048,1024.0,0.0,0.00448154,0.0012086573966385
example1_double_acc_row_kahan_cpu,22,512,8192.0,0.0,0.00803146,0.0024320658323024
example1_double_acc_row_kahan_cpu,23,512,16384.0,0.0,0.01975926,0.0028529815325196
example1_double_acc_row_kahan_cpu,24,16384,1024.0,0.0,0.0504504,0.0078695811054661
example1_double_acc_row_kahan_cpu,25,8192,4096.0,0.0,0.1020164,0.0194707401922128
example1_double_acc_row_kahan_cpu,26,16384,4096.0,0.0,0.22045196,0.0367799204579934
example1_double_acc_row_kahan_cpu,27,2048,65536.0,0.0,0.44750496,0.0613743451215604
example1_double_acc_row_kahan_cpu,28,65536,4096.0,0.0,0.8552122400000001,0.1265681466315168
example1_double_acc_row_kahan_cpu,29,4096,131072.0,0.0,1.78257752,0.2781958145120998
example1_double_acc_row_kahan_gpu,15,64,512.0,0.0,0.00077808,0.0011322412636817
example1_double_acc_row_kahan_gpu,16,1024,64.0,0.0,0.0012755,0.0008798287692871
example1_double_acc_row_kahan_gpu,17,256,512.0,0.0,0.00072948,0.0010289834143166
example1_double_acc_row_kahan_gpu,18,512,512.0,0.0,0.00064588,0.0003333501339983
example1_double_acc_row_kahan_gpu,19,1024,512.0,0.0,0.00182074,0.0004163071280892
example1_double_acc_row_kahan_gpu,20,1024,1024.0,0.0,0.00274414,0.000899003416715
example1_double_acc_row_kahan_gpu,21,256,8192.0,0.0,0.00445142,0.0013067818094659
example1_double_acc_row_kahan_gpu,22,512,8192.0,0.0,0.007352,0.0012246322063445
example1_double_acc_row_kahan_gpu,23,512,16384.0,0.0,0.01962638,0.0028322273984139
example1_double_acc_row_kahan_gpu,24,16384,1024.0,0.0,0.050592,0.0070468173421099
example1_double_acc_row_kahan_gpu,25,1024,32768.0,0.0,0.1025640199999999,0.0201935847668086
example1_double_acc_row_kahan_gpu,26,8192,8192.0,0.0,0.21521252,0.0414734089002304
example1_double_acc_row_kahan_gpu,27,32768,4096.0,0.0,0.4331275,0.0651280614695824
example1_double_acc_row_kahan_gpu,28,65536,4096.0,0.0,0.82417286,0.1407047507142222
example1_double_acc_row_kahan_gpu,29,4096,131072.0,0.0,1.81951832,0.2758386817075162
example1_double_acc_row_neumaier_cpu,15,128,256.0,0.0,0.0006800399999999,0.0006375065573092
example1_double_acc_row_neumaier_cpu,16,64,1024.0,0.0,0.00130688,0.0031740217881792
example1_double_acc_row_neumaier_cpu,17,256,512.0,0.0,0.00053998,0.0005080768658703
example1_double_acc_row_neumaier_cpu,18,512,512.0,0.0,0.0006407,0.0002285027798696
example1_double_acc_row_neumaier_cpu,19,512,1024.0,0.0,0.00117746,0.0003026131908316
example1_double_acc_row_neumaier_cpu,20,1024,1024.0,0.0,0.00183034,0.0002192831186444
example1_double_acc_row_neumaier_cpu,21,1024,2048.0,0.0,0.00434334,0.0019521034349686
example1_double_acc_row_neumaier_cpu,22,2048,2048.0,0.0,0.00637318,0.0015427680488826
example1_double_acc_row_neumaier_cpu,23,512,16384.0,0.0,0.01639602,0.0037159824118671
example1_double_acc_row_neumaier_cpu,24,4096,4096.0,0.0,0.0486905599999999,0.0087446038478315
example1_double_acc_row_neumaier_cpu,25,8192,4096.0,0.0,0.0999501399999999,0.0184393097042095
example1_double_acc_row_neumaier_cpu,26,16384,4096.0,0.0,0.20666718,0.0306095527797304
example1_double_acc_row_neumaier_cpu,27,32768,4096.0,0.0,0.40972506,0.0522853165622695
example1_double_acc_row_neumaier_cpu,28,65536,4096.0,0.0,0.81020726,0.1113529636664348
example1_double_acc_row_neumaier_cpu,29,4096,131072.0,0.0,1.76990306,0.2834517879249546
example1_double_acc_row_neumaier_gpu,15,64,512.0,0.0,0.00068686,0.0008066837634945
example1_double_acc_row_neumaier_gpu,16,64,1024.0,0.0,0.00123712,0.0014037180750726
example1_double_acc_row_neumaier_gpu,17,256,512.0,0.0,0.00074236,0.0009788450036775
example1_double_acc_row_neumaier_gpu,18,512,512.0,0.0,0.0005512799999999,5.679071496400136e-05
example1_double_acc_row_neumaier_gpu,19,2048,256.0,0.0,0.00239592,0.0006626647146797
example1_double_acc_row_neumaier_gpu,20,1024,1024.0,0.0,0.0031994,0.001536737386777
example1_double_acc_row_neumaier_gpu,21,2048,1024.0,0.0,0.0048216,0.0005926202280498
example1_double_acc_row_neumaier_gpu,22,2048,2048.0,0.0,0.00924278,0.0016177957325462
example1_double_acc_row_neumaier_gpu,23,512,16384.0,0.0,0.02051084,0.0028004619470249
example1_double_acc_row_neumaier_gpu,24,2048,8192.0,0.0,0.0487677,0.0067679005192729
example1_double_acc_row_neumaier_gpu,25,8192,4096.0,0.0,0.1038486799999999,0.018484795928215
example1_double_acc_row_neumaier_gpu,26,16384,4096.0,0.0,0.2032668,0.0345754270639288
example1_double_acc_row_neumaier_gpu,27,32768,4096.0,0.0,0.41071672,0.0565494932607043
example1_double_acc_row_neumaier_gpu,28,65536,4096.0,0.0,0.8367331400000001,0.1152250520859265
example1_double_acc_row_neumaier_gpu,29,65536,8192.0,0.0,1.81387888,0.2829390581546031
example1_double_cuda_col,15,256,128.0,4.0,0.00013568,7.125693664765652e-07
example1_double_cuda_col,16,512,128.0,4.0,0.00017286,1.0103545548621072e-06
example1_double_cuda_col,17,512,256.0,4.0,0.0002319,1.233048321545147e-06
example1_double_cuda_col,18,1024,256.0,4.0,0.00033526,2.8912958749900907e-06
example1_double_cuda_col,19,1024,512.0,4.0,0.00048868,2.113513372446496e-06
example1_double_cuda_col,20,2048,512.0,8.0,0.00070412,3.5607841374435147e-06
example1_double_cuda_col,21,2048,1024.0,16.0,0.00103762,4.251722340080895e-06
example1_double_cuda_col,22,2048,2048.0,16.0,0.00232784,9.804955015559364e-06
example1_double_cuda_col,23,2048,4096.0,16.0,0.0047237799999999,1.1053284672024693e-05
example1_double_cuda_col,24,4096,4096.0,64.0,0.00761144,1.546709476301749e-05
example1_double_cuda_col,25,4096,8192.0,16.0,0.01326446,4.001694029038298e-05
example1_double_cuda_col,26,4096,16384.0,32.0,0.02204846,0.0019533196360063
example1_double_cuda_col,27,8192,16384.0,32.0,0.0335576199999999,0.0012322084022317
example1_double_cuda_col,28,16384,16384.0,32.0,0.05539142,0.0008287688210686
example1_double_cuda_col,29,16384,32768.0,64.0,0.10197666,7.66368617013284e-05
example1_double_cuda_col_Kahan,15,256,128.0,4.0,0.00014418,6.288960200872879e-07
example1_double_cuda_col_Kahan,16,512,128.0,4.0,0.0001886399999999,6.311634866964253e-07
example1_double_cuda_col_Kahan,17,512,256.0,4.0,0.00024162,1.104536101718723e-06
example1_double_cuda_col_Kahan,18,1024,256.0,4.0,0.0003382,8.571428571428631e-07
example1_double_cuda_col_Kahan,19,1024,512.0,4.0,0.00045708,1.157759976534562e-06
example1_double_cuda_col_Kahan,20,2048,512.0,4.0,0.0006632399999999,3.5545888708564192e-06
example1_double_cuda_col_Kahan,21,2048,1024.0,4.0,0.00095882,3.4504658070634788e-06
example1_double_cuda_col_Kahan,22,2048,2048.0,16.0,0.00211476,1.3649489786382924e-05
example1_double_cuda_col_Kahan,23,4096,2048.0,16.0,0.0039471,1.3269959937192496e-05
example1_double_cuda_col_Kahan,24,4096,4096.0,32.0,0.00639016,1.3629739392899898e-05
example1_double_cuda_col_Kahan,25,4096,8192.0,16.0,0.01015506,5.740525823885292e-05
example1_double_cuda_col_Kahan,26,8192,8192.0,16.0,0.01788886,0.0012813329317709
example1_double_cuda_col_Kahan,27,16384,8192.0,8.0,0.03073196,0.0012641204566731
example1_double_cuda_col_Kahan,28,16384,16384.0,32.0,0.0542043,0.0009277859150049
example1_double_cuda_col_Kahan,29,16384,32768.0,64.0,0.09836588,8.877617808803341e-05
example1_double_cuda_col_neumaier,15,256,128.0,4.0,0.00016542,1.4298565648058447e-06
example1_double_cuda_col_neumaier,16,256,256.0,4.0,0.00022224,1.0214035960982562e-06
example1_double_cuda_col_neumaier,17,512,256.0,4.0,0.00028318,1.424135971495037e-06
example1_double_cuda_col_neumaier,18,1024,256.0,4.0,0.00040348,1.1993195349608842e-06
example1_double_cuda_col_neumaier,19,1024,512.0,4.0,0.0005252599999999,9.8581779994777e-07
example1_double_cuda_col_neumaier,20,2048,512.0,4.0,0.00075864,1.3364589215458998e-06
example1_double_cuda_col_neumaier,21,2048,1024.0,4.0,0.0010071,1.4463183379511872e-06
example1_double_cuda_col_neumaier,22,2048,2048.0,8.0,0.00204842,6.311925868010928e-06
example1_double_cuda_col_neumaier,23,4096,2048.0,8.0,0.00341144,6.2275228475154175e-06
example1_double_cuda_col_neumaier,24,4096,4096.0,16.0,0.00515248,6.94362135711759e-06
example1_double_cuda_col_neumaier,25,8192,4096.0,16.0,0.00835554,3.921276864096429e-05
example1_double_cuda_col_neumaier,26,16384,4096.0,8.0,0.0149588999999999,0.0008004038585206
example1_double_cuda_col_neumaier,27,16384,8192.0,16.0,0.02381008,0.0011513372321091
example1_double_cuda_col_neumaier,28,32768,8192.0,16.0,0.04306476,0.0004004303582856
example1_double_cuda_col_neumaier,29,65536,8192.0,16.0,0.08808742,0.0002092866494372
example1_double_cuda_row,15,32,1024.0,8.0,0.00012502,1.7669297711925387e-06
example1_double_cuda_row,16,64,1024.0,8.0,0.00016062,4.797490840777805e-06
example1_double_cuda_row,17,64,2048.0,8.0,0.0001876399999999,3.385201890099717e-06
example1_double_cuda_row,18,128,2048.0,16.0,0.00022566,3.372215404551419e-06
example1_double_cuda_row,19,128,4096.0,16.0,0.0002591,4.2245637378917845e-06
example1_double_cuda_row,20,256,4096.0,16.0,0.0003647199999999,4.370774927788861e-06
example1_double_cuda_row,21,256,8192.0,16.0,0.00049226,5.5173566578386e-06
example1_double_cuda_row,22,512,8192.0,16.0,0.00136748,7.025434840198696e-06
example1_double_cuda_row,23,512,16384.0,32.0,0.00172146,6.9022622733271925e-06
example1_double_cuda_row,24,1024,16384.0,32.0,0.0032969799999999,7.9910409017773e-06
example1_double_cuda_row,25,1024,32768.0,32.0,0.0049801,7.513070243901354e-05
example1_double_cuda_row,26,2048,32768.0,16.0,0.00902324,0.000357450014202
example1_double_cuda_row,27,2048,65536.0,32.0,0.01512206,2.379024838809684e-05
example1_double_cuda_row,28,4096,65536.0,32.0,0.02939232,4.383104854240346e-05
example1_double_cuda_row,29,16384,32768.0,64.0,0.05734384,3.749740671305258e-05
example1_double_cuda_row_kahan,15,32,1024.0,8.0,0.00014054,2.628027894114695e-06
example1_double_cuda_row_kahan,16,64,1024.0,8.0,0.00017434,2.479384387055685e-06
example1_double_cuda_row_kahan,17,64,2048.0,8.0,0.00021822,2.908748240486037e-06
example1_double_cuda_row_kahan,18,128,2048.0,16.0,0.00025324,3.673179126854449e-06
example1_double_cuda_row_kahan,19,128,4096.0,16.0,0.00031378,4.6171375530379695e-06
example1_double_cuda_row_kahan,20,256,4096.0,16.0,0.00042116,4.674551162564015e-06
example1_double_cuda_row_kahan,21,256,8192.0,16.0,0.00060218,5.313402384344624e-06
example1_double_cuda_row_kahan,22,512,8192.0,16.0,0.00148292,8.280392379542381e-06
example1_double_cuda_row_kahan,23,512,16384.0,32.0,0.00194426,7.663350362309587e-06
example1_double_cuda_row_kahan,24,1024,16384.0,32.0,0.00353234,7.026509569814471e-06
example1_double_cuda_row_kahan,25,1024,32768.0,32.0,0.00543118,6.344005365826284e-05
example1_double_cuda_row_kahan,26,2048,32768.0,16.0,0.00960914,0.0004852142808773
example1_double_cuda_row_kahan,27,2048,65536.0,32.0,0.01611234,0.0001953364037045
example1_double_cuda_row_kahan,28,4096,65536.0,32.0,0.0304104999999999,3.2423379068260035e-05
example1_double_cuda_row_kahan,29,16384,32768.0,64.0,0.05809966,3.716131958729975e-05
example1_double_cuda_row_neuimaier,15,32,1024.0,8.0,0.00014022,2.998571088273312e-06
example1_double_cuda_row_neuimaier,16,64,1024.0,8.0,0.0001780599999999,3.03993823782588e-06
example1_double_cuda_row_neuimaier,17,64,2048.0,8.0,0.00021548,3.032073446959209e-06
example1_double_cuda_row_neuimaier,18,128,2048.0,16.0,0.00025566,2.036503606374295e-06
example1_double_cuda_row_neuimaier,19,128,4096.0,16.0,0.00031668,3.3407807959413638e-06
example1_double_cuda_row_neuimaier,20,256,4096.0,16.0,0.00043146,3.6767887497385626e-06
example1_double_cuda_row_neuimaier,21,256,8192.0,16.0,0.00061634,6.409845742994095e-06
example1_double_cuda_row_neuimaier,22,512,8192.0,16.0,0.0014893999999999,6.318098396427434e-06
example1_double_cuda_row_neuimaier,23,512,16384.0,32.0,0.00196742,8.408183574376059e-06
example1_double_cuda_row_neuimaier,24,1024,16384.0,32.0,0.003584,7.267484195415358e-06
example1_double_cuda_row_neuimaier,25,1024,32768.0,32.0,0.00548248,2.4741306450912487e-05
example1_double_cuda_row_neuimaier,26,2048,32768.0,32.0,0.00969516,0.0003500737158522
example1_double_cuda_row_neuimaier,27,2048,65536.0,32.0,0.0162116,0.0001249572988288
example1_double_cuda_row_neuimaier,28,4096,65536.0,32.0,0.0306620399999999,5.315128965356088e-05
example1_double_cuda_row_neuimaier,29,16384,32768.0,64.0,0.0592272399999999,3.2064704990416613e-05
