SINGLE,,,,,,,,,,,,,,
,sequential,,SYCL,,,,CUDA,,,,OpenACC,,,
29,18.5627,25.4919,1.1177,1.1132,,,1.1423,1.1211,,,2.471,2.4949,,
,,,,,,,,,,,,,,
Speedup,,,,,,,,,,,,,,
15,,,1,1.4,1.2,1.6,2.4,3.3,2.9,3.8,1.7,2.4,1.9,2.7
16,,,1.8,2.4,2,2.7,3.3,4.6,4.2,5.5,2.2,3,2.7,3.7
17,,,2.7,3.7,3.3,4.4,4.3,6.1,5.6,7.3,2.7,3.7,3.5,4.7
18,,,4,5.7,4.6,6.2,5.4,7.7,6.5,8.6,3.2,4.5,4.7,6
19,,,6,8.2,7.2,9.8,7.9,11,10.4,13.5,4.1,5.6,6.4,8.8
20,,,8.5,11.8,11,13.9,10.1,14.5,12.7,16.7,4.8,6.6,8.6,11.7
21,,,11,15.1,13.5,18,12,17.7,15.1,20.1,5.5,7.6,10.8,14.8
22,,,13,18,15.3,20.6,12.9,19,16.2,22.1,5.9,8.1,11.6,16.1
23,,,14.2,19.6,16.5,22.4,13.4,20,17.2,23,6.5,8.9,13,17.6
24,,,15.2,20.9,17.2,23.2,14.1,21.1,17.2,23.5,6.9,9.5,14.2,19.5
25,,,15.9,21.8,17.4,23.6,14.6,21.7,17.9,24.1,7.1,9.7,15.2,20.5
26,,,16.5,22.5,17.9,24.1,15.7,22.4,17.9,24.4,7.2,10,15.9,21.6
27,,,16.9,23.4,18,24.3,15.9,22.9,17.9,24.7,7.5,10.2,16.5,22.4
28,,,16.9,23,17.9,24.6,16.3,22.9,18,24.8,7.4,10.2,16.4,22.5
29,,,16.6,22.9,,,16.3,22.7,,,7.5,10.2,,
