name,n,s,r,bsize,mean,std_dev
example1_double_sycl_row_kahan,25,1024,32768,32,0.0069489999999999,0.000432548970921
example1_double_sycl_row_kahan,26,2048,32768,16,0.01317302,0.0012014851607192
example1_double_sycl_row_kahan,27,2048,65536,32,0.01704662,0.0010210589119304
example1_double_sycl_row_kahan,28,4096,65536,32,0.03039122,4.517191198801591e-05
example1_double_sycl_row_kahan,29,16384,32768,64,0.05818062,5.027065115300289e-05
example1_float_sycl_col,15,256,128,4,0.00150812,7.664485818183948e-05
example1_float_sycl_col,16,256,256,4,0.0015443,7.512092292580337e-05
example1_float_sycl_col,17,512,256,4,0.00161142,9.744806884925416e-05
example1_float_sycl_col,18,512,512,8,0.00175876,9.992886449461776e-05
example1_float_sycl_col,19,1024,512,4,0.0019057,9.373916263891468e-05
example1_float_sycl_col,20,1024,1024,4,0.00215116,0.0001266577196983
example1_float_sycl_col,21,2048,1024,4,0.00255018,0.0001780625537872
example1_float_sycl_col,22,2048,2048,4,0.00312636,0.0002232816250425
example1_float_sycl_col,23,4096,2048,4,0.00445144,0.0003759406249255
example1_float_sycl_col,24,4096,4096,8,0.0069082,0.0007113217360975
example1_float_sycl_col,25,8192,4096,8,0.01021932,0.0006436588791068
example1_float_sycl_col,26,16384,4096,4,0.0168627599999999,0.0012744147846228
example1_float_sycl_col,27,16384,8192,8,0.0308188,0.003362996956676
example1_float_sycl_col,28,32768,8192,16,0.0499813599999999,0.0057157775758269
example1_float_sycl_col,29,65536,8192,16,0.06626984,0.0046628136699654
example1_float_sycl_col_Kahan,15,256,128,4,0.0015255199999999,5.973862798449081e-05
example1_float_sycl_col_Kahan,16,512,128,4,0.00157202,8.111505811537846e-05
example1_float_sycl_col_Kahan,17,512,256,4,0.0016628,9.056579522814406e-05
example1_float_sycl_col_Kahan,18,512,512,4,0.00180074,8.799114287523372e-05
example1_float_sycl_col_Kahan,19,1024,512,4,0.0019717,0.0001215010288022
example1_float_sycl_col_Kahan,20,1024,1024,8,0.0022715,0.0001202955968115
example1_float_sycl_col_Kahan,21,2048,1024,8,0.00262746,0.0001823301793058
example1_float_sycl_col_Kahan,22,2048,2048,4,0.00308672,0.0001601468764628
