function,n,s,r,mean,standard_deviation,coefficient_of_variation
example2_double_acc_row_neumaier,65536,256,256,0.000378,"0,00000289","0,008"
example2_double_acc_row_neumaier,131072,512,256,0.000536,"0,0000035","0,007"
example2_double_acc_row_neumaier,262144,512,512,0.000708,"0,00000244","0,003"
example2_double_acc_row_neumaier,524288,512,1024,0.00108,"0,0000107","0,01"
example2_double_acc_row_neumaier,1048576,1024,1024,0.0017,"0,00000393","0,002"
example2_double_acc_row_neumaier,2097152,1024,2048,0.00248,"0,00000622","0,003"
example2_double_acc_row_neumaier,4194304,2048,2048,0.00359,"0,00000988","0,003"
example2_double_acc_row_neumaier,8388608,2048,4096,0.00558,"0,0000116","0,002"
example2_double_acc_row_neumaier,16777216,4096,4096,0.00966,"0,0000204","0,002"
example2_double_acc_row_neumaier,33554432,4096,8192,0.0165,"0,000234","0,014"
example2_double_acc_row_neumaier,67108864,4096,16384,0.0288,"0,0000141",0
example2_double_acc_row_neumaier,134217728,8192,16384,0.0564,"0,00017","0,003"
example2_double_acc_row_neumaier,268435456,8192,32768,0.116,"0,000251","0,002"
example2_float_acc_col,32768,512,64,0.000177,"0,00000145","0,008"
example2_float_acc_col,65536,1024,64,0.000275,"0,00000145","0,005"
example2_float_acc_col,131072,512,256,0.000391,"0,0000018","0,005"
example2_float_acc_col,262144,1024,256,0.000607,"0,00000307","0,005"
example2_float_acc_col,524288,1024,512,0.000736,"0,0000024","0,003"
example2_float_acc_col,1048576,1024,1024,0.00108,"0,00000659","0,006"
example2_float_acc_col,2097152,2048,1024,0.00172,"0,00000418","0,002"
example2_float_acc_col,4194304,4096,1024,0.00251,"0,00000455","0,002"
example2_float_acc_col,8388608,4096,2048,0.00353,"0,0000109","0,003"
example2_float_acc_col,16777216,8192,2048,0.00521,"0,00000652","0,001"
example2_float_acc_col,33554432,16384,2048,0.00843,"0,00000994","0,001"
example2_float_acc_col,67108864,16384,4096,0.0153,"0,0000139","0,001"
example2_float_acc_col,134217728,16384,8192,0.0271,"0,0000201","0,001"
example2_float_acc_col,268435456,32768,8192,0.0488,"0,000131","0,003"
example2_float_acc_col,536870912,65536,8192,0.0973,"0,0000621","0,001"
example2_float_acc_col,1073741824,65536,16384,0.22,"0,000428","0,002"
example2_float_acc_col_kahan,32768,512,64,0.000173,"0,00000134","0,008"
example2_float_acc_col_kahan,65536,1024,64,0.000267,"0,00000168","0,006"
example2_float_acc_col_kahan,131072,512,256,0.000385,"0,00000334","0,009"
example2_float_acc_col_kahan,262144,512,512,0.000551,"0,00000187","0,003"
example2_float_acc_col_kahan,524288,1024,512,0.000722,"0,00000146","0,002"
example2_float_acc_col_kahan,1048576,1024,1024,0.00107,"0,000009","0,008"
