SINGLE,,,,,,,,,,,,,,
,sequential,,SYCL,,,,CUDA,,,,OpenACC,,,
Speedup,,,,,,,,,,,,,,
15,,,0,0,0,0,0,0,0,0,1,1.6,1.1,1.9
16,,,0,0,0,0,0,0,0,0,1.5,1.9,2,2.3
17,,,0,0,0,0,0,0,0,0,1.3,2.2,1.7,2.8
18,,,0,0,0,0,0,0,0,0,1.6,2.8,3.1,5
19,,,0,0.1,0,0.1,0,0.1,0,0.1,2,3.2,4.2,6.4
20,,,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,2.5,3.6,5.8,8.1
21,,,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,2.8,4,7.3,10
22,,,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6,3.1,4.4,8.9,12.2
23,,,0.8,1.2,0.8,1.2,0.9,1.2,0.9,1.2,3.3,4.6,9.8,13.3
24,,,1.6,2.2,1.6,2.2,1.6,2.2,1.6,2.2,3.4,4.7,10.5,14.2
25,,,2.8,3.9,2.8,3.9,2.8,3.9,2.8,4,3.6,5.1,11.1,15.1
26,,,4.5,6.3,4.7,6.5,4.5,6.4,4.7,6.5,3.7,5.2,11.8,16.2
27,,,6.4,8.9,6.7,9.3,6.6,9.2,6.7,9.3,3.7,5.2,11.9,16.4
28,,,8.2,11.5,8.7,12.3,8.3,11.7,8.7,12.4,3.7,5.2,11.6,16.3
29,,,9.4,13.1,,,9.5,13.3,,,3.7,5.2,,
